Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,1,2,2,Oroscopo,6.49,331,7.3,34.8,0.25,6.49,34.8,331,0,34.8
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,2,2,5,Cool Your Boots,6.57,333,13.3,34.5,1.25,6.57,34.5,333,2,34.5
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,3,2,4,Coast to Coast,6.76,332,14.3,33.4,0.1,6.76,33.4,332,1,33.4
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,4,2,9,Azzedine (FR),6.77,332,24.6,33.4,0.25,6.77,33.4,332,1,33.4
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,5,2,3,Impunity,6.83,333,10.8,33.2,2,6.83,33.2,333,2,33.2
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,6,2,6,Bridgetothefuture,7.09,332,19.8,31.9,1,7.09,31.9,332,1,31.9
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,7,2,7,Mine the Coin,7.24,333,23.4,31.3,0,7.24,31.3,333,2,31.3
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,1,3,2,Oroscopo,5.80,333,10.0,39.2,0.5,12.29,39.2,665,0,36.9
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,2,3,5,Cool Your Boots,5.80,332,15.0,39.0,0.5,12.38,39.0,665,0,36.6
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,3,3,4,Coast to Coast,5.68,331,14.8,39.7,0.1,12.44,39.7,663,-2,36.3
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,4,3,9,Azzedine (FR),5.68,332,21.3,39.8,0.5,12.46,39.8,664,-1,36.3
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,5,3,3,Impunity,5.71,332,11.7,39.6,1.25,12.54,39.6,665,0,36.1
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,6,3,6,Bridgetothefuture,5.59,332,25.7,40.5,3,12.69,40.5,664,-1,35.7
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,7,3,7,Mine the Coin,5.85,332,10.6,38.6,0,13.10,38.6,665,0,34.6
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,1,4,2,Oroscopo,5.71,331,3.6,39.5,0.25,18.01,39.5,996,0,37.7
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,2,4,5,Cool Your Boots,5.65,331,10.9,39.9,0.25,18.03,39.9,996,0,37.7
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,3,4,4,Coast to Coast,5.62,333,12.7,40.3,0.25,18.07,40.3,996,0,37.6
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,4,4,9,Azzedine (FR),5.62,331,15.1,40.1,1,18.08,40.1,995,-1,37.5
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,5,4,6,Bridgetothefuture,5.56,331,20.7,40.5,0.1,18.26,40.5,995,-1,37.1
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,6,4,3,Impunity,5.74,332,4.3,39.4,3.25,18.29,39.6,997,1,37.2
Aqueduct,Race 1,30000,2019-11-20,6 Furlongs,Dirt,7,4,7,Mine the Coin,5.65,332,4.6,40.1,0,18.76,40.1,997,1,36.2
